,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
4029,"Binghamton University , SUNY",Political Science,20200.0,0.98,2018-2019,5th,"Guaranteed 5 years through a mix of teaching, research and fellowships. These amounts do not include conference yearly conference funding which can vary from $800 a year to unlimited. The fees are very high and due each semester but drop down to under $200 when you reach candidacy. Funded graduate students are also unionised so you receive some of those fees back at the end of terms as a credit.",-75.969123,42.0906475
4030,Michigan Technological University (MTU),Geology,25661.0,1.26,2017-2018,5th,"My gross pay is through a graduate student fellowship, where I need to pay quarterly taxes. Cost of living is relatively low in the area, so graduate students are able to find relatively affordable rent and live comfortably. It does help that I'm still on my family's car insurance and cell phone plan, which cuts down on some bills. ",-83.24918,42.474756
4031,"University of Michigan , Ann Arbor (UM)",Philosophy,27650.0,1.2,2018-2019,1st,,-83.73849799999999,42.2771875
4032,"University of Minnesota , Twin Cities (UM)",Entomology ,20100.0,0.88,2018-2019,1st,"This is roughly the basic stipend for PhD students. Masters students make less though the fees are the same. 
I am now on an external fellowship so my stipend is considerably more at $27,000",51.4,25.42
4033,University of Rochester (UR),Biochemistry,31600.0,1.48,2017-2018,3rd,,7.497353,46.308815
4034,University of Chicago (UC),,31112.0,1.28,2017-2018,2nd,"Taxes (federal and state combined) are approximately $4,000 a year for a single renter with few assets.",-77.040457,38.898701
4035,University of Rochester (UR),Mechanical Engineering,28000.0,1.31,2018-2019,1st,The required fee is for healthcare. I could also get healthcare from another source.,7.497353,46.308815
4036,University of Virginia (UVA),Biology,30500.0,1.34,2018-2019,1st,"Voted on by faculty, who frequently raise it by small amounts.",-78.5039985,38.035165
4037,"Louisiana State University , Baton Rouge",Geography,15000.0,0.69,2018-2019,1st,"15,000 for 9 months, 3,200 for summer",-91.178322,30.414605
4038,Loyola University Chicago (LUC),IPBS,27800.0,1.15,2018-2019,1st,,-87.66022,41.997427
4040,"University of Maryland , College Park (UMD)",Mechanical ,22624.0,0.75,2018-2019,1st,,-76.94796,38.984325999999996
4041,Illinois State University (ISU),School of Biological Sciences,16200.0,0.72,2018-2019,3rd,,-88.995827,40.497317
4044,,,24000.0,,2018-2019,1st,,,
4045,Boston University (BU),Anthropology,21000.0,0.73,2018-2019,1st,,-71.104588,42.350218
4046,Rice University,Chemistry,28464.0,1.3,2018-2019,1st,,-95.4018215,29.717171
4048,"Rutgers the State University of New Jersey , New Brunswick",Neuroscience,29600.0,1.15,2018-2019,3rd,,-74.447763,40.50005625
4049,"University at Buffalo , SUNY",Pharmacology & Toxicology,27000.0,1.28,2018-2019,1st,,103.776405,1.328776
4051,Clemson University (CU),Biochemistry and Molecular Biology,23665.0,1.14,2018-2019,3rd,,-74.08083,4.59889
4052,Case Western Reserve University,mandel school of applied social sciences,9000.0,0.45,2018-2019,4th,"full time fellowship ($18,000) in years 1-3, half-time in year 4 ($9,000), no fellowship thereafter",-81.609739,41.504526
4053,University of Central Florida (UCF),Anthropology PhD,18000.0,0.78,2018-2019,1st,,-81.197224,28.605102
4054,"University of North Carolina , Charlotte (UNCC)",Nanoscale Science ,21000.0,0.92,2018-2019,1st,,-80.732797,35.3049605
4055,"Texas A&M University , College Station",Aerospace Engineering,24000.0,,2018-2019,4th,,-96.34213299999999,30.614044
4056,Brown University,anthropology,35000.0,1.54,2018-2019,1st,,-71.403962,41.8261575
4057,"University of Louisiana , Lafayette",English,17700.0,0.84,2018-2019,1st,,-92.01738800000001,30.213642999999998
4058,University of Georgia (UGA),Religion,12134.0,0.57,2018-2019,2nd,,43.881434770301,42.3842114527972
4059,"University of Texas , Arlington (UTA)",Biology,20800.0,0.95,2017-2018,6th and up,"Old ""Enhanced"" GTA. All GTAs now paid differently and have required fees for 9-month appointments.",-97.1149705,32.729879
4061,university of  Maryland ,biology,21000.0,,2018-2019,2nd,,-76.94807275,38.98640225
4062,Arizona State University (ASU),Business,27000.0,1.22,2018-2019,1st,,-111.93225100000001,33.4210665
4063,Virginia Commonwealth University (VCU),School of Medicine,27000.0,1.09,2018-2019,6th and up,,-77.452015,37.548297
4064,Case Western Reserve University,Biomedical Engineering,24964.0,1.25,2017-2018,1st,,-81.609739,41.504526
4065,Rice University,Biosciences,29000.0,1.33,2018-2019,1st,,-95.4018215,29.717171
4066,Southern Methodist University (SMU),Statistical Science/ Biostatistics,34300.0,1.59,2018-2019,2nd,,-96.7847485,32.8429835
4067,"Rutgers the State University of New Jersey , New Brunswick",Education,20000.0,0.78,2018-2019,2nd,,-74.447763,40.50005625
4068,University of South Carolina (USC),Anthropology,9900.0,0.44,2018-2019,2nd,,-80.375953,33.933773
4070,University of Virginia (UVA),microbiology,30000.0,1.31,2018-2019,3rd,,-78.5039985,38.035165
4071,California Institute of Technology (Caltech),BMB,34000.0,1.31,2018-2019,4th,,-118.12562600000001,34.138344000000004
4072,Carnegie Mellon University (CMU),School of Computer Science,32400.0,1.57,2018-2019,1st,,-79.9449435,40.44288975
4073,"University of Texas , Austin (UT)",College of Pharmacy,30000.0,1.31,2018-2019,1st,,-97.734734,30.269594
4075,"University of Nebraska , Lincoln (NU)",Political Science,15000.0,0.77,2018-2019,5th,,-96.70419,40.816183
4076,"University of Nebraska , Lincoln (NU)","Child, Youth and Family Studies",11000.0,0.56,2018-2019,,,-96.70419,40.816183
4079,University of Louisville (U of L),computer science/phd,14000.0,0.68,2018-2019,1st,,-85.584006,38.253366
4080,Clemson University (CU),industrial engineering,22000.0,1.06,2019-2020,1st,,-74.08083,4.59889
4083,"University of Michigan , Ann Arbor (UM)",Political Science,30598.0,1.33,2018-2019,1st,Summer funding is guaranteed for years 1-3,-83.73849799999999,42.2771875
4084,"University of Texas , Austin (UT)",Mechanical Engineering ,24300.0,1.06,2018-2019,1st,Full tuition waiver and health insurance coverage. ,-97.734734,30.269594
4086,"University of Illinois , Chicago (UIC)",english,18000.0,0.74,2018-2019,6th and up,,-87.650264,41.873436
4087,Arizona State University (ASU),Kinesiology,14200.0,0.64,2016-2017,1st,,-111.93225100000001,33.4210665
4088,Arizona State University (ASU),Neuroscience,15200.0,0.68,2016-2017,1st,,-111.93225100000001,33.4210665
4089,Arizona State University (ASU),Bioinformatics,14800.0,0.67,2016-2017,1st,,-111.93225100000001,33.4210665
4090,Arizona State University (ASU),Psychology,13500.0,0.61,2016-2017,1st,,-111.93225100000001,33.4210665
4091,Arizona State University (ASU),Bioinformatics,18500.0,0.83,2017-2018,1st,,-111.93225100000001,33.4210665
4092,Clemson University (CU),Physics,18000.0,0.86,2018-2019,2nd,,-74.08083,4.59889
4094,Georgia Institute of Technology (Georgia Tech),Psychology PhD,15934.0,0.68,2018-2019,1st,,-84.3926795,33.78023525
4095,Georgia Institute of Technology (Georgia Tech),Psychology PhD,15934.0,0.68,2018-2019,,,-84.3926795,33.78023525
4096,Georgia Institute of Technology (Georgia Tech),Psychology PhD,25434.0,1.09,2018-2019,1st,Received President's ($5500/year) and Herbert P. Haley ($4000/year),-84.3926795,33.78023525
4097,Arizona State University (ASU),Education,17500.0,0.79,2017-2018,2nd,,-111.93225100000001,33.4210665
4098,University of Louisville (U of L),Environment,21000.0,1.02,2019-2020,,,-85.584006,38.253366
4099,University of Montana (UM),"Ecosystem and Conservation Science, BRIDGES NSF NRT Program",34000.0,1.55,2018-2019,1st,,-113.977146,46.856083
4100,University of Cincinnati (UC),Physics ,20820.0,1.08,2018-2019,2nd,,-84.515631,39.1319205
4102,Florida State University (FSU),Philosophy,14000.0,0.6,2018-2019,1st,You also get health insurance at no further expense,-84.298289,30.444751
4103,Yale University (YU),Clinical Psychology,31000.0,1.25,2018-2019,1st,,-88.9972051619975,20.721291176
4104,"University of Texas , Dallas (UTD)",Computer Science,23400.0,1.08,2018-2019,4th,"Salary has not increased for the last 5 years. Insurance is very high ($1050 per long sem) and not shared by the University though they promise in the beginning. They sponsor only a $57 eye and dental insurance. As I have student insurance, they do not reimburse.",-96.750326,32.985556
4105,Drexel University (DU),BEES,23500.0,0.97,2018-2019,3rd,,-77.039427,38.900666
4107,Wayne State University,chemistry,21000.0,1.01,2018-2019,1st,,-83.0696575,42.3568145
4108,"Purdue University , West Lafayette",Communication PhD,23650.0,1.12,2018-2019,1st,"No teaching/funding required in the summer, but you can choose to teach.  Health insurance additional ~$50 a month.",-86.92597925,40.426348000000004
4109,"University of Colorado , Boulder (UCB)",Materials Science and Engineering,29200.0,1.15,2018-2019,1st,,-105.2617842,40.0069447
4111,Oklahoma State University (OSU),Sociology,14800.0,0.76,2018-2019,4th,,-95.988563,36.163864
4112,University of Notre Dame,Department of Computer Science and Engineering,32500.0,,2018-2019,1st,,-86.23826225,41.7008115
4113,Emory University,economics,25500.0,1.09,2018-2019,3rd,,-84.38642250000001,33.76855425
4115,West Virginia University (WVU),Economics,25250.0,1.13,2018-2019,1st,,-79.981236,39.6492345
4117,University of Notre Dame (ND),Economics,26000.0,1.27,2018-2019,1st,,151.218944,-33.88136
4118,Virginia Commonwealth University (VCU),Mechanical and Nuclear Engineering ,26000.0,1.05,2018-2019,1st,,-77.452015,37.548297
4119,"Rutgers the State University of New Jersey , New Brunswick",Political Science,28000.0,1.09,2017-2018,,,-74.447763,40.50005625
4120,"Stony Brook University , SUNY",Political Science,24300.0,0.87,2018-2019,,,-73.124151,40.914502
4122,"University at Buffalo , SUNY",Political Science,17800.0,0.85,2018-2019,5th,$4000 Dean's Fellowship,103.776405,1.328776
4123,Rensselaer Polytechnic Institute (RPI),ECSE,21680.0,0.95,2018-2019,1st,,-73.67859899999999,42.7300305
4124,University of Virginia (UVA),Materials Science and Engineering,28000.0,1.23,2018-2019,5th,"Dept. stipend has increased as of last year.  Starts with 25k, then 27k after passing qualifying exam, 28k after completing proposal.  Bonus for publishing first paper.  Salary increases by a few percent each fall with CPI (consumer price index).  ",-78.5039985,38.035165
4125,Ohio State University (OSU),physics,24800.0,1.24,2018-2019,4th,,-83.029862,40.020121
4126,"Louisiana State University , Baton Rouge",Soil Science,17500.0,0.81,2018-2019,1st,,-91.178322,30.414605
4127,Emory University,Genetics & Molecular Biology,30300.0,1.3,2018-2019,5th,"Increasing to $31,775 September 1, 2019",-84.38642250000001,33.76855425
4128,University of Delaware (UD),Bioinformatics,32000.0,1.26,2018-2019,1st,,-75.74845024999999,39.679881249999994
4129,Rice University,Anthropology,21500.0,0.98,2018-2019,3rd,,-95.4018215,29.717171
4131,Boston University (BU),Physics,33990.0,1.19,2018-2019,1st,,-71.104588,42.350218
4132,Emory University,Art History,25437.0,1.09,2018-2019,,"My department offers five years of funding at a base salary of $24,000. I have a small additional yearly scholarship of $2,500. I bet maybe one-third to one-half of the graduate students in my department have a small additional scholarship like this, usually between $2,500 and $5,000.

You are expected to serve as a teaching assistant for one year and a co-instructor of record for one semesterneither of these roles increase the stipend.

I did not include in my pay calculation the part-time job on campus that I have. Emory allows graduate students to perform 10 hours of outside work per week. I haven't regularly had a part-time job during graduate school, but if I did, it would give me an extra $5,000 per year. Maybe one-third of the students do part-time work at any given time.

Atlanta in general has a low cost of living, though it has begun to rise in recent years. Finding an affordable, non-shitty apartment within a reasonable distance of campus can be difficult, but overall I feel like I can afford the necessities as well as a few frivolities.

A very important note: starting in the academic year 2019-2020, the Laney Graduate School at Emory will set the minimum base stipend of all of their programs at $31,000. Some of the STEM disciplines were already around this salary, but it feels historic to me for graduate students in humanities disciplines like mine to be paid that high. For some context, according to an online city-to-city cost-of-living calculator, students in Boston would need $44,800 for the same purchasing power as $31,000 in Atlanta; students in Chicago would need $36,100, Berkeley, $45,600, Brooklyn, $53,700. ",-84.38642250000001,33.76855425
4133,"University of California , Berkeley",Sociology ,30500.0,1.1,2018-2019,1st,"Additionally received a $4,000 GSR ship for the summer. Totaling $34,500 for the year. ",-122.2591495,37.870498999999995
4134,Clemson University (CU),Chemistry,18000.0,0.86,2018-2019,3rd,,-74.08083,4.59889
4135,Columbia University (CU),African,22000.0,0.74,2018-2019,1st,,-74.08083,4.59889
4136,University of Chicago (UC),Psychology,29525.0,1.22,2018-2019,1st,,-77.040457,38.898701
4137,"University of California , Los Angeles (UCLA)",political science,29000.0,1.12,2018-2019,,,-118.444563,34.071048
4138,Stanford University (SU),,16000.0,0.56,2018-2019,,,-115.114218,36.002823
4139,Loyola University Chicago (LUC),IPBS - Pharmacology,30000.0,1.24,2018-2019,2nd,,-87.66022,41.997427
4142,University of North Texas (UNT),Chemistry,22000.0,1.02,2018-2019,1st,,-97.148998,33.2107285
4143,New York University (NYU),Spanish & Portuguese Languages and Literatures,27000.0,0.91,2018-2019,,,-73.9621555,40.807559499999996
4144,University of Pennsylvania,Biochemistry and Molecular Biophysics,32000.0,1.33,2018-2019,,No withholding ,-75.191259,39.9492625
4145,University of Southern California (USC),History,34000.0,1.31,2018-2019,1st,,-118.14106,34.146771
4146,"University of Alabama , Birmingham (UAB)",Biostatistics,24000.0,1.11,2017-2018,1st,"Blazer Fellowship. In the documentation for Blazer Fellowship, it says stem students get 29k per year for stipend. I believe biostatistics is STEM, but I only get 24k per year. So what's going on?",-86.802087,33.506034
4147,Pennsylvania State University (Penn State),College of Information Science and Technology,21000.0,0.94,2017-2018,3rd,,-77.86414400000001,40.801520749999995
4148,University of Southern California (USC),Molecular and computational biology,34000.0,1.31,2018-2019,4th,,-118.14106,34.146771
4149,"University of Wisconsin , Madison (UW)",Chemistry,25500.0,1.12,2018-2019,2nd,,-89.408095,43.073243500000004
4150,"University of Wisconsin , Madison (UW)",Chemistry,25430.0,1.11,2018-2019,,"~$22,000/year net pay, easily livable in Madison",-89.408095,43.073243500000004
4151,Arizona State University (ASU),Neuroscience,25000.0,1.13,2018-2019,,,-111.93225100000001,33.4210665
4152,Pennsylvania State University (Penn State),Immunology and Infectious Disease,27500.0,1.22,2017-2018,5th,,-77.86414400000001,40.801520749999995
4153,University of Chicago (UC),Comparative Literature,28531.0,1.18,2018-2019,1st,,-77.040457,38.898701
4154,Rice University,Mathematics,23417.0,1.07,2018-2019,2nd,The pay is an 11 month stipend,-95.4018215,29.717171
4155,University of New Orleans (UNO),Economics and Finance,8500.0,0.37,2018-2019,3rd,,-90.066948,30.027503
4157,Yale University (YU),engineering,35000.0,1.42,2018-2019,1st,,-88.9972051619975,20.721291176
4158,"University of North Carolina , Charlotte (UNCC)",Department of Civil and Environmental Engineering,12400.0,0.54,2018-2019,3rd,,-80.732797,35.3049605
